Código da IES;Sigla da IES;Nome da IES;Categoria Administrativa;Organização Acadêmica;Situaçao da IES;Sinalização da IES;Código do Curso;Nome do Curso;Grau;Modalidade;Situação do Curso;Qt. Vagas Autorizadas;Carga Horária;Tipo de Periodicidade;Integralização - Turno Integral;Quantitativo de Vagas - Integral;Integralização - Turno Matutino;Quantitativo de Vagas - Matutino;Integralização - Turno Vespertino;Quantitativo de Vagas - Vespertino;Integralização - Turno Noturno;Quantitativo de Vagas - Noturno;Sinalização do Curso;Código do Endereço;Nome do Campus;Endereço;Número Endereço;Complemento;Bairro;Código do Município;Município;UF;Início Funcionamento;Data Ato de Criação;Valor CC;Ano CC;CPC Faixa;CPC Contínuo;CPC Ano; Valor IDD;IDD Ano;Valor ENADE;ENADE Ano;Código Rótulo CINE;Rótulo CINE;Código Área Detalhada CINE;Área Detalhada CINE;Código Área Específica CINE;Área Específica CINE;Código Área Geral CINE ; Área Geral CINE 
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1125287;POLO - NOVA REDENÇÃO/BA - CENTRO;Rua José Joaquim de Souza;S/N;POLO - NOVA REDENÇÃO/BA - CENTRO;Centro;000000002922854;Nova Redenção;BA;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1135549;Polo de Apoio Presencial de Urussanga/SC;Avenida Presidente Vargas;149;Polo de Apoio Presencial de Urussanga/SC;Centro;000000004219002;Urussanga;SC;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3797;UNIGUAIRACÁ;CENTRO UNIVERSITÁRIO GUAIRACÁ;Privada com fins lucrativos;Centro Universitário;Ativa;Unificação de Mantidas;1664431;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3200;;;;;;;;;;;1171209;Iturama - Recanto dos Lagos;AV. DOMINGOS TEIXEIRA;664;Iturama - Recanto dos Lagos;RESIDENCIAL RECANTO DOS LAGOS;000000003134400;Iturama;MG;16/10/2023;2023-10-16;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1205;UNIFAEL;CENTRO UNIVERSITÁRIO FAEL;Privada com fins lucrativos;Centro Universitário;Ativa;;1644154;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;500;3200;;;;;;;;;;;1177126;AC - SENA MADUREIRA (CENTRO);Rua Cunha Vasconcelos;480;;Centro;000000001200500;Sena Madureira;AC;Não iniciado;2023-06-01;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1147653;POLO - JABOATÃO DOS GUARARAPES/PE - VILA RICA;Avenida Barão de Moreno;44;POLO - JABOATÃO DOS GUARARAPES/PE - VILA RICA;Vila Rica;000000002607901;Jaboatão dos Guararapes;PE;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
17854;UniFECAF;Centro Universitário UniFECAF;Privada com fins lucrativos;Centro Universitário;Ativa;;1659077;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;6500;3405;;;;;;;;;;;1172702;RS - Bom Retiro do Sul (Centro);Osvaldo Aranha;147;RS - Bom Retiro do Sul (Centro);Bela Vista;000000004302402;Bom Retiro do Sul;RS;08/10/2023;2023-10-02;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
17854;UniFECAF;Centro Universitário UniFECAF;Privada com fins lucrativos;Centro Universitário;Ativa;;1659077;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;6500;3405;;;;;;;;;;;1160009;POLO LUCAS DO RIO VERDE;AV MATO GROSSO;952-S;POLO LUCAS DO RIO VERDE;ALVORADA;000000005105259;Lucas do Rio Verde;MT;08/10/2023;2023-10-02;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1121427;POLO - RIO DE JANEIRO/RJ - CAMPO GRANDE;Estrada do Mendanha;976;;Campo Grande;000000003304557;Rio de Janeiro;RJ;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1658;UNIGRANDE;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA;Privada com fins lucrativos;Centro Universitário;Ativa;;1676070;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;19000;3200;;;;;;;;;;;1183758;PALHOÇA I;Avenida Atílio Pedro Pagani;740;PALHOÇA I;Pagani;000000004211900;Palhoça;SC;03/02/2025;2024-06-07;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1179550;Polo de Apoio Presencial de Santa Fé do Sul/SP;Rua 18;298 - Sala 01;;Centro;000000003546603;Santa Fé do Sul;SP;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
